index,vocab
582,GNPDA2
583,ALDH1A2
584,MSH2
585,CYP11B2
586,PCAT18
587,MIR523
588,MDFI
589,SDR39U1
590,GP1BA
591,ZNF691
592,RPL29P9
593,ARL4A
594,PROKR1
595,TRIM55
596,CAND1.11
597,CMTM2
598,PDLIM1
599,PARD6A
600,TRAF3
601,ATP6V1A
602,RACGAP1P
603,MUC21
604,HIST1H1T
605,RTBDN
606,CDCA2
607,TENT5C
608,METRN
609,RICTOR
610,MIR6877
611,CYP26B1
612,MIR495
613,PSMC1
614,METTL23
615,SLC6A3
616,GPM6A
617,MYO1E
618,GPATCH1
619,SEC14L6
620,GPHA2
621,SIRT4
622,LGR6
623,BBS5
624,SAP130
625,LINC00965
626,FMO
627,TMBIM1
628,STARD4
629,TULP1
630,FBXW12
631,ADRA1D
632,CYP4A11
633,THAP12P3
634,ZNF847P
635,PI4KB
636,AURKC
637,MIR4324
638,NCKAP1L
639,SLC46A1
640,SOD2-OT1
641,LENEP
642,CASP14
643,TBRG1
644,SFTPC
645,PHLPP
646,PNPLA3
647,GFM2
648,PPIEL
649,FRRS1
650,OC90
651,ZNF26
652,HSBP1
653,ATP5PD
654,GUCY2GP
655,IGLC1
656,DTD1
657,FAM78A
658,ZC3H6
659,SDF2
660,MIRLET7C
661,SLC51B
662,MAFG
663,SNORD4B
664,RAB32
665,SPATA19
666,LINC01567
667,ZNF629
668,COL25A1
669,CBX3
670,MSRB2
671,RPL21P28
672,ARFGEF1
673,TMSB10P1
674,TMEM217
675,RNF149
676,LILRB4
677,ATP2B4
678,OLFM4
679,LIME1
680,TSPAN7
681,PKD1P6
682,MIR23B
683,HEATR7B1
684,MIR139
685,COX6B1P1
686,C1QTNF5
687,ALDH1A3
688,MIR4804
689,FOXE3
690,RAB5B
691,ARL17A
692,CDK7
693,SENP3
694,FRYL
695,TESK1
696,WDR70
697,MIR4737
698,LINC01615
699,AP1G1
700,DPH2
701,PFN1P9
702,LRRC37A2
703,SIGLEC6
704,KLK5
705,ANXA4
706,LLCFC1
707,TJP1
708,MIR6132
709,NME8
710,APOA1BP
711,SNORD116-8
712,SNORA70
713,TARS
714,MYL1
715,DYSF
716,SORBS1
717,SFXN4
718,DCHS1
719,HOXA4
720,FTMT
721,CALHM1
722,ZCWPW1
723,DACT2
724,DDOST
725,PEX26
726,TMEM270
727,ALKBH8
728,ZNF429
729,TPX2
730,KIF22
731,TPSB2
732,SHOX
733,FCHSD2
734,TMEM245
735,TBCK
736,MED15P9
737,SLC9A6
738,MALAT1
739,SCARNA13
740,IER3
741,BAGE
742,EIF3L
743,OR2L3
744,LDHAL6A
745,DEPP1
746,AQP6
747,PRRC2CP1
748,THSD4
749,ZBTB8OS
750,CHN2
751,RBM47
752,TP73
753,PTPRB
754,RRP1
755,CYB5R4
756,RPL23P8
757,RPL9P25
758,ZRSR2P1
759,ASB18
760,KLHL18
761,MVB12A
762,NOCT
763,LINC01189
764,PLS1
765,ZNF487
766,DEF6
767,PK
768,FAM105A
769,ZDHHC4
770,ANGPTL1
771,GRHPR
772,PCTP
773,OR6K2
774,AIMP2
775,HTR1B
776,PDZD2
777,FAM153B
778,PEPT1
779,IBSP
780,INTS4P2
781,DNAH7
782,LRIT2
783,HER3
784,DHRSX
785,INPP5K
786,ACTRT3
787,EIF3H
788,GPR157
789,INTS6-AS1
790,RUSC1-AS1
791,HACD2
792,SCGN
793,OVCH1-AS1
794,TMEM222
795,CHP2
796,SP5
797,LINC01455
798,DGKI
799,CCDC107
800,ABCB1A
801,COQ5
802,PPP1R35
803,HIBCH
804,EHD4
805,CLK1
806,SIAHBP1
807,FAM133CP
808,MIR219A1
809,SLC36A3
810,MRPS9
811,DNAJC5
812,CCDC79
813,GORASP1
814,HOXA1
815,C1QTNF9B
816,TIPARP
817,NPTX2
818,LMNB1
819,BCAM
820,POU6F2
821,MAML3
822,GPR42
823,SLC43A2
824,RND2
825,PTK2B
826,UCMA
827,ZNF302
828,FITM2
829,TPRXL
830,MIR4476
831,NUDC
832,C14ORF132
833,IQCA1
834,RNA5-8SN1
835,ATP5F1E
836,DNAJC17
837,TM4SF1
838,LINC01004
839,DAPP1
840,FAR1
841,GATD3B
842,CBS
843,NUDT14
844,HOGA1
845,SLC49A3
846,BLNK
847,PDXP
848,ZNF483
849,NPM1P8
850,TSEN2
851,CENPX
852,RNF165
853,MYEOV
854,KCNK15-AS1
855,S100Z
856,SNORD10
857,LILRA4
858,PCDH12
859,AMZ2P1
860,SLC25A22
861,TAF1
862,MIR6771
863,TNC
864,EIF2S2
865,TAAR8
866,TMED10P1
867,IQCF2
868,EEF1A1P11
869,PRIMPOL
870,PTPDC1
871,TMEM164
872,FLVCR1
873,POLDIP3
874,GPBP1
875,MMACHC
876,ALDH3A1
877,P4HA1
878,SEMA4B
879,PSG4
880,GID8
881,GATS
882,FBXL7
883,PILRA
884,KLHL7-DT
885,FAT1
886,UBR1
887,C8ORF17
888,PCGF1
889,PGGT1B
890,ASUN
891,SHPRH
892,LINC01006
893,ZBTB34
894,LIN7A
895,OR6J1
896,GFRA3
897,GC
898,ZNF157
899,LAMP2
900,MAGEA8
901,MIR185
902,IL7R
903,PRAMEF8
904,NSUN4
905,LINC02133
906,CFAP126
907,MT1JP
908,IFNL3
909,EPM2A
910,TMBIM4
911,TCAP
912,GCC1
913,GOSR2
914,TMEM94
915,MIR6769B
916,MIR146
917,FMR1NB
918,MIR4778
919,PQBP1
920,CDHR4
921,ZBTB16
922,SLC22A20
923,LIPF
924,ATP2B2-IT2
925,OMP
926,GPR108
927,KIF2A
928,KHDC1
929,DIPK2A
930,MIR548C
931,TRG-AS1
932,GTF3C6
933,C8ORF87
934,XYLB
935,RPS4Y1
936,NAP1L4
937,LINC01840
938,GALNT18
939,TSPYL5
940,ECD
941,SNORD115-10
942,LRRC40
943,OAS3
944,MYSM1
945,FOXN3
946,HOXB1
947,GPR158-AS1
948,LINC01549
949,AQP7P3
950,MIR5087
951,SLC5A4
952,CYP2U1
953,ISCA2
954,DPPA2
955,CYBC1
956,MIR127
957,EME2
958,TPI1P1
959,IMPA2
960,IL9R
961,NEMP1
962,HBA2
963,ZNF416
964,MACF1
965,RPS6
966,GABRB1
967,DR1
968,PLA2G5
969,SNRPA
970,LINC01324
971,MIR451B
972,CLDN20
973,B4GAT1
974,RHOQP2
975,SNORA3B
976,RPL26P19
977,RPL27
978,DCST1
979,C21ORF58
980,GJD2
981,CGB3
982,HSFX1
983,PP12613
984,OR51F2
985,B9D2
986,LYSMD1
987,IKBKB
988,SIPA1L1
989,OGFRL1
990,C2CD4B
991,HBE1
992,HTATSF1P2
993,PAGE5
994,LRCOL1
995,ACADL
996,PIEZO1
997,TBC1D16
998,SIGLEC8
999,ZNF786
1000,MIR6797
1001,MIR4764
1002,RPL21P14
1003,SLC29A2
1004,MAP7D2
1005,NPAP1
1006,KERA
1007,SH3BP2
1008,TMBIM7P
1009,ZNHIT6
1010,HMGA1
1011,VCX3B
1012,IMP3
1013,SMAD7
1014,UGT2B15
1015,GPR27
1016,SLITRK5
1017,NEU4
1018,PPP1R9B
1019,ATP8
